# NanoFASE model output data - WATER.
# see summary.md for model run metadata.
# Columns:
#	t: timestep index
#	datetime: datetime of this timestep
#	x, y: grid cell (eastings and northings) index
#	easts, norths: eastings and northings at the centre of this grid cell (m)
#	w: waterbody index within this grid cell
#	waterbody_type: what type (river, estuary etc) is this waterbody?
#	m_np(kg), m_transformed(kg), m_dissolved(kg): NM mass (untransformed, transformed and dissolved, kg)
#	C_np(kg/m3), C_transformed(kg/m3), C_dissolved(kg/m3): NM concentration (kg/m3)
#	m_np_outflow(kg), m_transformed_outflow(kg), m_dissolved_outflow(kg): downstream outflow NM masses (kg)
#	m_np_deposited(kg), m_transformed_deposited(kg): mass of NM deposited (kg)
#	m_spm(kg), C_spm(kg/m3): mass and concentration of SPM (kg, kg/m3)
#	volume(m3), depth(m), flow(m3/s): volume (m3), depth (m) and flow rate (m3/s) of this waterbody
t,datetime,x,y,easts,norths,w,waterbody_type,m_np(kg),C_np(kg/m3),m_transformed(kg),C_transformed(kg/m3),m_dissolved(kg),C_dissolved(kg/m3),m_np_deposited(kg),m_transformed_deposited(kg),m_np_outflow(kg),m_transformed_outflow(kg),m_dissolved_outflow(kg),m_spm(kg),C_spm(kg/m3),volume(m3),depth(m),flow(m3/s)
 1,2015-01-01T00:00:00.000,12,4,447500.000,242500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,12.308792030882742,2.0214876311174211E-003,6088.9771678092293,1.8058754620709749,-0.28232998543158089
 1,2015-01-01T00:00:00.000,12,4,447500.000,242500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,48.792650896479287,3.2316129966848857E-003,15098.543961338404,2.1794954476691979,-1.2565813163005428
 1,2015-01-01T00:00:00.000,13,4,452500.000,242500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2.4468534503544013,9.9490951847591973E-004,2459.3728423693069,1.6778497034008333,-0.14402889468733016
 1,2015-01-01T00:00:00.000,10,5,437500.000,237500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.98407872338670799,6.8738234841088863E-004,1431.6322286449908,1.6276682352144864,-0.10726525774602864
 1,2015-01-01T00:00:00.000,11,5,442500.000,237500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,15.180519219825253,2.3977849445372432E-003,6331.0595282576505,1.7476469848335747,-0.21061000384010928
 1,2015-01-01T00:00:00.000,11,5,442500.000,237500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,9.6799020760336543,1.8998584473276803E-003,5095.0648926762406,1.7527853012222459,-0.21630861131901233
 1,2015-01-01T00:00:00.000,11,5,442500.000,237500.000,3,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,9.8557208322132137,1.9096938753366708E-003,5160.8904230662065,1.7565077857336548,-0.22051010630632475
 1,2015-01-01T00:00:00.000,12,5,447500.000,237500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,71.502049694094595,3.9113245512211910E-003,18280.776437171458,2.2655576255208634,-1.6523957937250897
 1,2015-01-01T00:00:00.000,12,5,447500.000,237500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,11.983048844975967,2.0931720710982865E-003,5724.8274092862648,1.7871541476178465,-0.25751338668029616
 1,2015-01-01T00:00:00.000,12,5,447500.000,237500.000,3,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3.9962561198930655,1.2794798374022893E-003,3123.3443490650152,1.7437949983588192,-0.20641387318728779
