# NanoFASE model output data - SOIL.
# See summary.md for model run metadata.
# Columns:
#	t: timestep index
#	datetime: datetime of this timestep
#	x, y: grid cell (eastings and northings) index
#	easts, norths: eastings and northings at the centre of this grid cell (m)
#	p: soil profile index within this cell
#	land_use: dominant land use of this soil profile
#	m_np_total(kg), m_transformed_total(kg), m_dissolved_total(kg): NM mass (untransformed, transformed and dissolved) in whole soil profile, sum of free and attached NM
#	C_np_total(kg/kg), C_transformed_total(kg/kg), C_dissolved_total(kg/kg): NM concentration averaged over all soil layers, sum of free and attached NM
#	m_np_eroded(kg), m_transformed_eroded(kg): mass of NM eroded on this timestep
#	m_np_buried(kg), m_transformed_buried(kg), m_dissolved_buried(kg): mass of NM buried on this timestep
#	bulk_density(kg/m3): bulk density of this soil profile
t,datetime,x,y,easts,norths,p,land_use,m_np_total(kg),m_transformed_total(kg),m_dissolved_total(kg),C_np_total(kg/kg),C_transformed_total(kg/kg),C_dissolved_total(kg/kg),m_np_eroded(kg),m_transformed_eroded(kg),m_np_buried(kg),m_transformed_buried(kg),m_dissolved_buried(kg),bulk_density(kg/m3)
1,2015-01-01T00:00:00.000,12,1,447500.000,257500.000,1,arable,2.1247115582792193E-004,8.7259565197362381E-010,0.0000000000000000,1.6522362872546819E-014,6.7855525832368682E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1285.9610595703125
1,2015-01-01T00:00:00.000,13,1,452500.000,257500.000,1,arable,2.3845316151802659E-004,7.6365935532053388E-010,0.0000000000000000,1.8648185719330841E-014,5.9721839683996776E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1278.6936035156250
1,2015-01-01T00:00:00.000,12,2,447500.000,252500.000,1,arable,2.7778777610137402E-004,7.5847036855227093E-010,0.0000000000000000,2.2825970663681717E-014,6.2323917289751340E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1216.9812011718750
1,2015-01-01T00:00:00.000,13,2,452500.000,252500.000,1,arable,2.6719009800196006E-004,6.8358636846595920E-010,0.0000000000000000,2.1515091333723949E-014,5.5044791188054764E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1241.8729248046875
1,2015-01-01T00:00:00.000,11,3,442500.000,247500.000,1,arable,3.2757656894022343E-004,7.5808175909542652E-010,0.0000000000000000,2.4712887510764938E-014,5.7190870815631374E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1325.5292968750000
1,2015-01-01T00:00:00.000,12,3,447500.000,247500.000,1,arable,3.7707818933161298E-004,7.1389203311738890E-010,0.0000000000000000,2.8679672976093866E-014,5.4296935302295906E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1314.7924804687500
1,2015-01-01T00:00:00.000,13,3,452500.000,247500.000,1,arable,3.1508238010080641E-004,9.6712734253383939E-010,0.0000000000000000,2.5852969821484008E-014,7.9354212038324567E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1218.7473144531250
1,2015-01-01T00:00:00.000,14,3,457500.000,247500.000,1,arable,2.6303493107359240E-004,3.9236373190861085E-009,0.0000000000000000,2.0532401578592623E-014,3.0627756076126956E-019,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1281.0723876953125
1,2015-01-01T00:00:00.000,10,4,437500.000,242500.000,1,arable,2.7267557545441453E-004,6.9512363564609375E-010,0.0000000000000000,2.1222358481353819E-014,5.4101519580398289E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1284.8504638671875
1,2015-01-01T00:00:00.000,11,4,442500.000,242500.000,1,arable,3.4393182951081481E-004,6.3427813150876684E-010,0.0000000000000000,2.6396370931605936E-014,4.8680114477700200E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1302.9511718750000
1,2015-01-01T00:00:00.000,12,4,447500.000,242500.000,1,arable,4.2795280533134154E-004,7.6062054186457618E-010,0.0000000000000000,3.4694073884549872E-014,6.1663400610551668E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1233.5040283203125
1,2015-01-01T00:00:00.000,13,4,452500.000,242500.000,1,arable,3.4652538226278727E-004,2.9544757739633556E-009,0.0000000000000000,2.7897106304608267E-014,2.3785075772066052E-019,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1242.1552734375000
1,2015-01-01T00:00:00.000,10,5,437500.000,237500.000,1,arable,2.6622865170033565E-004,5.9393078360322883E-010,0.0000000000000000,1.9903917439926125E-014,4.4403745451017483E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1337.5690917968750
1,2015-01-01T00:00:00.000,11,5,442500.000,237500.000,1,arable,3.0689131098044832E-004,5.0328820682073164E-010,0.0000000000000000,2.4332325464431338E-014,3.9903939970305176E-020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1261.2493896484375
