# NanoFASE model output data - SEDIMENT.
# See summary.md for model run metadata.
#\tx, y: grid cell (eastings and northings) index
#\teasts, norths: eastings and northings at the centre of this grid cell (m)
#\twaterbody_type: what is the dominant waterbody type in this cell?
#\tm_np_total(kg), C_np_total(kg/m3), C_np_total(kg/kg): NM mass (kg) and concentration (kg/m3 and kg/kg dry weight) for all layers
#\tC_np_li(kg/m3), C_np_li(kg/kg): NM conc for layer i (kg/m3 and kg/kg)
#\tm_np_buried(kg): NM mass buried on this timestep (kg)
#\tbed_area(m2): area of this bed sediment (m2)
#\tsediment_mass(kg): total mass of fine sediment in this bed sediment (kg, *not* kg/m2)
#\tsediment_density(kg): average density of the sediment (kg/m3)
t,datetime,x,y,easts,norths,waterbody_type,m_np_total(kg),C_np_total(kg/m3),C_np_total(kg/kg),C_np_l1(kg/m3),C_np_l1(kg/kg),C_np_l2(kg/m3),C_np_l2(kg/kg),C_np_l3(kg/m3),C_np_l3(kg/kg),C_np_l4(kg/m3),C_np_l4(kg/kg),m_np_buried(kg),bed_area(m2),sediment_mass(kg),sediment_density(kg/m3)
1,2015-01-01T00:00:00.000,1,1,452500.000,212500.000,riv,5.7502657552473204,4.8701113990413353E-002,4.9609093695878630E-004,8.5076297671852916E-002,8.5076297671852916E-002,6.3764803472977541E-002,6.3764803472977555E-002,3.4006894680030347E-002,3.4006894680030347E-002,1.1956460136792583E-002,1.1956460136792583E-002,5.8363309305612482E-002,2951.8143491069313,11591.152602985439,98.169731317746894
1,2015-01-01T00:00:00.000,2,1,457500.000,212500.000,riv,2.9657279903360414,4.8542092858346840E-002,4.9501756903286038E-004,8.9434465574088878E-002,8.9434465574088878E-002,6.2334280533718894E-002,6.2334280533718894E-002,3.1324559708350262E-002,3.1324559708350262E-002,1.1075065617229332E-002,1.1075065617229332E-002,2.5773147464687528E-002,1527.4001809520614,5991.1570333358623,98.061353566068121
1,2015-01-01T00:00:00.000,3,1,462500.000,212500.000,riv,3.5774916633034519,4.9262463097777112E-002,5.0198577084748766E-004,0.10934577731845059,0.10934577731845059,6.1950771553335511E-002,6.1950771553335511E-002,2.1441527892546632E-002,2.1441527892546632E-002,4.3117756267757211E-003,4.3117756267757211E-003,5.8679531020946734E-003,1815.5262233670430,7126.6794221351729,98.135178243416675
1,2015-01-01T00:00:00.000,1,2,452500.000,207500.000,riv,9.4821716519224193,4.5188056247742824E-002,4.5979217342882972E-004,4.9057556186374342E-002,4.9057556186374342E-002,4.8714072432192994E-002,4.8714072432192994E-002,4.6188824247551247E-002,4.6188824247551247E-002,3.6791772124852712E-002,3.6791772124852712E-002,0.87699363461653046,5245.9502860001394,20622.733921742460,98.279307172107394
1,2015-01-01T00:00:00.000,2,2,457500.000,207500.000,riv,3.9236900376024537,4.7628823437019747E-002,4.8559196963013867E-004,7.6645815077188942E-002,7.6645815077188942E-002,6.0454381832943591E-002,6.0454381832943591E-002,3.6781532919149575E-002,3.6781532919149575E-002,1.6633563918796886E-002,1.6633563918796886E-002,6.4184280984680014E-002,2059.5145135655680,8080.2201910196654,98.084042603293582
1,2015-01-01T00:00:00.000,3,2,462500.000,207500.000,riv,10.767603480215703,4.8727404016543636E-002,4.9632991231325814E-004,9.3196256754723761E-002,9.3196256754723761E-002,6.2093396171023107E-002,6.2093396171023107E-002,2.9602364979135043E-002,2.9602364979135050E-002,1.0017598161292659E-002,1.0019802077112772E-002,8.8664219150895229E-002,5524.4086660324901,21694.448013481284,98.175432928147572
1,2015-01-01T00:00:00.000,4,2,467500.000,207500.000,riv,2.3324027446055315,4.9076164479342800E-002,5.0041816606929295E-004,0.10670805801443489,0.10670805801443489,6.0801917403208901E-002,6.0801917403208901E-002,2.3003419860883705E-002,2.3003419860883705E-002,5.7912626388437376E-003,5.7912626388437385E-003,7.5353765779751190E-003,1188.1545865919054,4660.9074225386203,98.070309606920290
1,2015-01-01T00:00:00.000,1,3,452500.000,202500.000,riv,15.497879564488789,4.5478280888031596E-002,4.6287344277998882E-004,5.7957823237754780E-002,5.7957823237754780E-002,5.3227244083262432E-002,5.3227244083262439E-002,4.2726080775244389E-002,4.2726080775244389E-002,2.8001975455864789E-002,2.8026923305269565E-002,0.93622903086110576,8519.3853023212760,33481.894038702027,98.252085094560414
1,2015-01-01T00:00:00.000,2,3,457500.000,202500.000,riv,3.0281429639312294,4.8155609760762386E-002,4.9115830992413605E-004,8.1905070550879713E-002,8.1905070550879713E-002,6.1846998954135673E-002,6.1846998954135673E-002,3.4826649680034065E-002,3.4826649680034072E-002,1.4043719858000112E-002,1.4043719858000112E-002,3.9170156700795246E-002,1572.0614102174954,6165.3094384149863,98.044986285990902
1,2015-01-01T00:00:00.000,3,3,462500.000,202500.000,riv,16.091970453440254,4.6218645239938481E-002,4.7039656923658440E-004,6.3999707438581369E-002,6.3999707438581369E-002,5.4955364114768514E-002,5.4955364114768514E-002,4.0868316290596916E-002,4.0868316290596916E-002,2.5051193115807124E-002,2.5081012767948604E-002,0.78569910162190670,8704.2635767363572,34209.370360749490,98.254639303487309
1,2015-01-01T00:00:00.000,4,3,467500.000,202500.000,riv,2.6023198319501861,4.9088100144252730E-002,5.0059607605066128E-004,0.10768968707295372,0.10768968707295373,6.0556972107979543E-002,6.0556972107979543E-002,2.2536204833346417E-002,2.2536204833346417E-002,5.5695365627312209E-003,5.5695365627312227E-003,7.9314282460578849E-003,1325.3313341060575,5198.4423299531154,98.059298689518528
2,2015-01-02T00:00:00.000,1,1,452500.000,212500.000,riv,11.586479160196154,5.8745421969433755E-002,5.9873528623825497E-004,5.5418590110419379E-002,5.5418590110419379E-002,5.7044825328629381E-002,5.7044825328629381E-002,6.0254372179626842E-002,6.0254372179626842E-002,6.2263900259059410E-002,6.2263900259059410E-002,1.2279675297472972,4930.8010014817819,19351.588968460328,98.115850726822103
2,2015-01-02T00:00:00.000,2,1,457500.000,212500.000,riv,6.6630813037756802,6.5455579998007954E-002,6.6754470205325934E-004,6.3389355046215387E-002,6.3389355046215387E-002,6.5527593500653444E-002,6.5527593500653444E-002,6.7685294356124540E-002,6.7685294356124540E-002,6.5220077089038458E-002,6.5220077089038458E-002,0.51323226071543537,2544.8867204713247,9981.4758221900647,98.054227374851735
2,2015-01-02T00:00:00.000,3,1,462500.000,212500.000,riv,10.273246457728110,7.6349897107870338E-002,7.7823645321375740E-004,7.5668881285347683E-002,7.5668881285347683E-002,7.9229018482257663E-002,7.9229018482257663E-002,8.0211343624721348E-002,8.0211343624721362E-002,7.0290345039154684E-002,7.0290345039154684E-002,0.82411192792374577,3363.8705081811027,13200.674955926757,98.106297633040072
2,2015-01-02T00:00:00.000,1,2,452500.000,207500.000,riv,10.141412193461118,2.8931563601136526E-002,2.9458505223008504E-004,2.8874293592190688E-002,2.8874293592190688E-002,2.8874307097999305E-002,2.8874307097999305E-002,2.8874763039082985E-002,2.8874763039082985E-002,2.9102890675273128E-002,2.9102890675273128E-002,2.4730743267846300,8763.2771598118561,34426.092283664788,98.211241141113931
2,2015-01-02T00:00:00.000,2,2,457500.000,207500.000,riv,7.2588199395875188,5.0930781780288495E-002,5.1932118130962974E-004,4.8184719179392162E-002,4.8184719179392162E-002,4.9242616398238431E-002,4.9242616398238431E-002,5.1733697770629916E-002,5.1733697770629916E-002,5.4562093772893498E-002,5.4562093772893498E-002,0.67797623493155568,3563.0810327773802,13977.515650877453,98.071836106993970
2,2015-01-02T00:00:00.000,3,2,462500.000,207500.000,riv,23.809730524910442,6.4455622517469988E-002,6.5666356541022421E-004,6.4337611248444754E-002,6.4337611248444768E-002,6.5868034735605402E-002,6.5868034735605402E-002,6.5985147284965434E-002,6.5985147284965434E-002,6.1631696800864423E-002,6.1629992793285515E-002,2.1663734791387563,9234.9317744336568,36258.644120199169,98.156233896126011
2,2015-01-02T00:00:00.000,4,2,467500.000,207500.000,riv,5.6224033367555108,8.5008184064273670E-002,8.6685923215145452E-004,0.10006962427728404,0.10006962427728404,9.7351231454006204E-002,9.7351231454006204E-002,8.3532032003300422E-002,8.3532032003300422E-002,5.9079848522503989E-002,5.9079848522503989E-002,0.21643421750690370,1653.4888741344569,6485.9473467235166,98.064577167035736
2,2015-01-02T00:00:00.000,1,3,452500.000,202500.000,riv,20.370254070888965,3.7043035967062564E-002,3.7706022548641711E-004,3.6232475063704382E-002,3.6232475063704375E-002,3.6493449961075883E-002,3.6493449961075869E-002,3.7182522556079109E-002,3.7182522556079109E-002,3.8263696287390868E-002,3.8217306801158590E-002,3.8823475135407057,13747.695075743923,54023.873890731469,98.241695790841149
