# NanoFASE model output data - WATER.\n# See summary.md for model run metadata.
# Columns:\n#\tt: timestep index\n#\tdatetime: datetime of this timestep
#\tx, y: grid cell (eastings and northings) index
#\teasts, norths: eastings and northings at the centre of this grid cell (m)
#\twaterbody_type: what is the dominant waterbody type in this cell?
#\tm_np(kg), m_transformed(kg), m_dissolved(kg): NM mass (pristine, transformed and dissolved, kg)
#\tC_np(kg/m3), C_transformed(kg/m3), C_dissolved(kg/m3): NM concentration (kg/m3)
#\tm_np_outflow(kg), m_transformed_outflow(kg), m_dissolved_outflow(kg): downstream outflow NM masses (kg)
#\tm_np_deposited(kg), m_transformed_deposited(kg): mass of NM deposited (kg)
#\tm_np_resuspended(kg), m_transformed_resuspended(kg): mass of NM resuspended (kg)
#\tm_spm(kg), C_spm(kg/m3): mass and concentration of SPM (kg, kg/m3)
#\tm_spm_erosion(kg), m_spm_dep(kg), m_spm_res(kg), m_spm_inflow(kg), m_spm_outflow(kg), m_spm_bank_erosion(kg): SPM fluxes from erosion, deposition, resuspension, inflows, outflow and bank erosion on this timestep (kg)
#\tvolume(m3), depth(m), flow(m3/s): volume (m3), depth (m) and flow rate (m3/s) of this waterbody
t,datetime,x,y,easts,norths,waterbody_type,m_np(kg),C_np(kg/m3),m_transformed(kg),C_transformed(kg/m3),m_dissolved(kg),C_dissolved(kg/m3),m_np_deposited(kg),m_transformed_deposited(kg),m_np_resuspended(kg),m_transformed_resuspended(kg),m_np_outflow(kg),m_transformed_outflow(kg),m_dissolved_outflow(kg),m_spm(kg),C_spm(kg/m3),m_spm_erosion(kg),m_spm_dep(kg),m_spm_res(kg),m_spm_inflow(kg),m_spm_outflow(kg),m_spm_bank_erosion(kg),volume(m3),depth(m),flow(m3/s)
1,2015-01-01T00:00:00.000,1,1,452500.000,212500.000,riv,3.2537121516308205,5.8934616278563646E-004,2.3166049655388936,4.1960756929471901E-004,0.0000000000000000,0.0000000000000000,-5.8533282823464825,0.0000000000000000,2.8262038255052749E-002,0.0000000000000000,-16.314696581798160,-11.658709334353565,0.0000000000000000,3008.9770261879157,0.54501719317892283,511.06928052404999,-6237.6279665078218,118.38547158591659,94155.315309762955,-164941.50622747838,18847.264179518141,5520.8845956536697,1.8620959889653272,-0.38180904219323702
1,2015-01-01T00:00:00.000,2,1,457500.000,212500.000,riv,0.99427477124667518,3.7107574616817326E-004,0.70866515378792116,2.6448267453825882E-004,0.0000000000000000,0.0000000000000000,-3.0215609188590751,0.0000000000000000,9.2250600281833725E-003,0.0000000000000000,-6.0243360657224869,-4.3041286824956106,0.0000000000000000,685.06211289833129,0.25567372527872911,579.91174493828203,-2930.4636414902925,30.409867314518490,0.0000000000000000,-94155.315309762955,7135.4207339455625,2679.4388518080755,1.7467071126935458,-0.21795211877259943
1,2015-01-01T00:00:00.000,3,1,462500.000,212500.000,riv,1.8521275238231156,6.0149252655385306E-004,1.3191769285122350,4.2841275964870064E-004,0.0000000000000000,0.0000000000000000,-3.5986633546258506,0.0000000000000000,1.5303738220302709E-002,0.0000000000000000,-6.4808121005070261,-4.6323540589961114,0.0000000000000000,1124.6492538961311,0.36523841501828175,508.34889888667522,-2663.4399677043043,47.641531119741316,0.0000000000000000,-68922.265199944377,7141.6141011131485,3079.2195115616128,1.6903222137199942,-0.15954228055542680
1,2015-01-01T00:00:00.000,1,2,452500.000,207500.000,riv,8.3112008325509397,8.0580055502928812E-004,5.9149873778359447,5.7347911668602131E-004,0.0000000000000000,0.0000000000000000,-10.421766710669738,0.0000000000000000,6.2601424130790922E-002,0.0000000000000000,-32.035187420253685,-22.899422890862763,0.0000000000000000,8215.0940217651259,0.79648265704636390,18.288518947463967,-20555.270859367378,287.73981860841070,164941.50622747838,-248578.20972101763,42226.862161405799,10314.215820127918,1.9507818350783170,-0.57541252250235564
1,2015-01-01T00:00:00.000,2,2,457500.000,207500.000,riv,1.8866896897745620,4.9119046014018764E-004,1.3434280106024525,3.4975493122659911E-004,0.0000000000000000,0.0000000000000000,-4.0797347111075082,0.0000000000000000,1.7551891596838964E-002,0.0000000000000000,-14.048621541158605,-10.039235456052237,0.0000000000000000,1623.5864588121299,0.42269281700299055,577.36454720048607,-4847.6971313909635,62.698059345297992,68922.265199944377,-161027.68131531778,12973.883076216829,3841.0552379948367,1.8557990294231443,-0.37274926230397637
1,2015-01-01T00:00:00.000,3,2,462500.000,207500.000,riv,7.4464671101504640,7.2677712348930804E-004,5.3014056998588845,5.1741857286138047E-004,0.0000000000000000,0.0000000000000000,-10.964580950240025,0.0000000000000000,6.2041792737309982E-002,0.0000000000000000,-36.493869873596545,-26.080684491988123,0.0000000000000000,6905.3586521651096,0.67396479748651650,455.42336696852055,-10437.366476008141,262.42396466743679,221008.19842307831,-300561.22704991145,34253.507445844109,10245.874380854824,1.8331937326738426,-0.69574358113405421
1,2015-01-01T00:00:00.000,4,2,467500.000,207500.000,riv,0.89962177813033217,4.5300116088523024E-004,0.64113192861861523,3.2283956992284254E-004,0.0000000000000000,0.0000000000000000,-2.3520568596505216,0.0000000000000000,8.3492903639693552E-003,0.0000000000000000,-4.5587535157639394,-3.2573627259125395,0.0000000000000000,519.32036414452898,0.26150181503801928,529.90133221198653,-1747.6894024027613,24.035981525869794,0.0000000000000000,-59980.517107760526,4330.9343872878908,1985.9149507969034,1.6656645676161930,-0.13884378960129751
1,2015-01-01T00:00:00.000,1,3,452500.000,202500.000,riv,14.616178028234033,8.7627614019418823E-004,10.397797092699850,6.2337373595977151E-004,0.0000000000000000,0.0000000000000000,-16.929642175641206,0.0000000000000000,0.11055419506593343,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,16002.615051447887,0.95939647992851118,451.79244280506362,-29061.226812471643,530.33467490312705,347733.62131090835,0.0000000000000000,68070.578106163230,16679.876762358261,1.9263464140737203,0.0000000000000000
1,2015-01-01T00:00:00.000,2,3,457500.000,202500.000,riv,1.0007603206094813,3.6081448405087099E-004,0.71181197318660128,2.5663694348926683E-004,0.0000000000000000,0.0000000000000000,-3.1097720305923486,0.0000000000000000,9.3772739049484306E-003,0.0000000000000000,-6.2180535373673029,-4.4425128347327041,0.0000000000000000,667.62688139516217,0.24070643468596098,585.94433176541304,-3392.5472609560029,22.580603150399110,0.0000000000000000,-99155.411589890718,7557.4755484634479,2773.6145993196460,1.7558087319919793,-0.22952641571733962
1,2015-01-01T00:00:00.000,3,3,462500.000,202500.000,riv,15.095710527907746,8.7503622361829677E-004,10.731045242397538,6.2203453670001498E-004,0.0000000000000000,0.0000000000000000,-17.298752321844653,0.0000000000000000,0.11443248830200302,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,17328.787526107997,1.0044785085602073,446.29733320600786,-27316.399734336323,529.20067207047191,373540.82087404095,0.0000000000000000,74264.536859488740,17251.526417371158,1.9311959882881959,0.0000000000000000
