# NanoFASE model output data - SOIL.
# See summary.md for model run metadata.
# Columns:\n#\tt: timestep index\n#\tdatetime: datetime of this timestep
#\tx, y: grid cell (eastings and northings) index
#\teasts, norths: eastings and northings at the centre of this grid cell (m)
#\tp: soil profile index within this cell
#\tland_use: dominant land use of this soil profile
#\tm_np_total(kg), m_transformed_total(kg), m_dissolved_total(kg): NM mass (pristine, transformed and dissolved) in whole soil profile, sum of free and attached NM
#\tC_np_total(kg/kg), C_transformed_total(kg/kg), C_dissolved_total(kg/kg): NM concentration averaged over all soil layers, sum of free and attached NM
#\tC_np_li(kg/kg), C_transformed_li(kg/kg), C_dissolved_li(kg/kg): NM concentration for layer i, sum of free and attached
#\tm_soil_eroded(kg), m_np_eroded(kg), m_transformed_eroded(kg): mass of soil and NM eroded on this timestep
#\tm_np_buried(kg), m_transformed_buried(kg), m_dissolved_buried(kg): mass of NM buried on this timestep
#\tbulk_density(kg/m3): bulk density of this soil profile
t,datetime,x,y,easts,norths,p,land_use,m_np_total(kg),m_transformed_total(kg),m_dissolved_total(kg),C_np_total(kg/kg),C_transformed_total(kg/kg),C_dissolved_total(kg/kg),m_soil_eroded(kg),m_np_eroded(kg),m_transformed_eroded(kg),m_np_buried(kg),m_transformed_buried(kg),m_dissolved_buried(kg),bulk_density(kg/m3)
1,2015-01-01T00:00:00.000,1,1,452500.000,212500.000,1,arable,164267.55039781498,82133.775198907490,0.0000000000000000,1.3632385378215584E-005,6.8161926891077918E-006,0.0000000000000000,3828.4262750256939,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1204.9802246093750
1,2015-01-01T00:00:00.000,2,1,457500.000,212500.000,1,arable,164267.55039781498,82133.775198907490,0.0000000000000000,1.4139845383047832E-005,7.0699226915239162E-006,0.0000000000000000,6459.7069739312228,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1161.7351074218750
1,2015-01-01T00:00:00.000,3,1,462500.000,212500.000,1,arable,164267.55039781498,82133.775198907490,0.0000000000000000,1.2785773295400550E-005,6.3928866477002749E-006,0.0000000000000000,29166.913144771039,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1284.7681884765625
1,2015-01-01T00:00:00.000,4,1,467500.000,212500.000,1,arable,164267.55039781498,82133.775198907490,0.0000000000000000,1.2681489315768928E-005,6.3407446578844640E-006,0.0000000000000000,19506.085002357329,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1295.3332519531250
1,2015-01-01T00:00:00.000,1,2,452500.000,207500.000,1,arable,164267.55039781498,82133.775198907490,0.0000000000000000,1.2016481613816326E-005,6.0082408069081628E-006,0.0000000000000000,18.288518947463967,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1367.0186767578125
1,2015-01-01T00:00:00.000,2,2,457500.000,207500.000,1,arable,164267.55039781498,82133.775198907490,0.0000000000000000,1.2563222029061459E-005,6.2816110145307293E-006,0.0000000000000000,11403.645505205488,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1307.5272216796875
1,2015-01-01T00:00:00.000,3,2,462500.000,207500.000,1,arable,164267.55039781498,82133.775198907490,0.0000000000000000,1.2988719159114343E-005,6.4943595795571715E-006,0.0000000000000000,12975.336634379473,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1264.6939697265625
1,2015-01-01T00:00:00.000,4,2,467500.000,207500.000,1,arable,164267.55039781498,82133.775198907490,0.0000000000000000,1.2610771156995070E-005,6.3053855784975351E-006,0.0000000000000000,3931.1984530014315,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1302.5971679687500
1,2015-01-01T00:00:00.000,1,3,452500.000,202500.000,1,arable,164267.55039781498,82133.775198907490,0.0000000000000000,1.1875011551829855E-005,5.9375057759149275E-006,0.0000000000000000,18910.874865490339,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1383.3043212890625
1,2015-01-01T00:00:00.000,2,3,457500.000,202500.000,1,arable,164267.55039781498,82133.775198907490,0.0000000000000000,1.2228448639395000E-005,6.1142243196974999E-006,0.0000000000000000,12782.720191908998,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1343.3228759765625
